scientificName,State,TerrestrialEcoregions,,,,,,,,,,,,,,,,,,,,
Swintonia floribunda,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Xylia xylocarpa,Assam,Mizorama manipura kachin Rain Forests,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Assam,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Assam,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Assam,NA,,,,,,,,,,,,,,,,,,,,
Albizia amara,Assam,NA,,,,,,,,,,,,,,,,,,,,
Altingia excelsa,Assam,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Aquilaria malaccensis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Buchanania lanzan,Assam,NA,,,,,,,,,,,,,,,,,,,,
Canthium parviflorum,Assam,NA,,,,,,,,,,,,,,,,,,,,
Capparis decidua,Assam,NA,,,,,,,,,,,,,,,,,,,,
Castanopsis indica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Chrysopogon aciculatus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Cleistanthus collinus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Cynodon dactylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Dendrocalamus strictus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros chloroxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Assam,NA,,,,,,,,,,,,,,,,,,,,
Dipterocarpus retusus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Eragrostis tenella,Assam,NA,,,,,,,,,,,,,,,,,,,,
Euphornia caducifolia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Heteropogon contortus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Holigarna grahamii,Assam,NA,,,,,,,,,,,,,,,,,,,,
Knema attenuata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Litsea glutinosa,Assam,NA,,,,,,,,,,,,,,,,,,,,
Memecylon edule,Assam,NA,,,,,,,,,,,,,,,,,,,,
Olea dioica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Phragmites karka,Assam,NA,,,,,,,,,,,,,,,,,,,,
Pinus insularis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,Assam,NA,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,Assam,NA,,,,,,,,,,,,,,,,,,,,
Quercus leucotrichophora,Assam,NA,,,,,,,,,,,,,,,,,,,,
Saccharum spontaneum,Assam,NA,,,,,,,,,,,,,,,,,,,,
Schima wallichii,Assam,NA,,,,,,,,,,,,,,,,,,,,
Shorea assamica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,Assam,NA,,,,,,,,,,,,,,,,,,,,
Tectona grandis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia arjuna,Assam,NA,,,,,,,,,,,,,,,,,,,,
Terminalia bellirica,Assam,NA,,,,,,,,,,,,,,,,,,,,
Trema orientalis,Assam,NA,,,,,,,,,,,,,,,,,,,,
Vetiveria zizanoides,Assam,NA,,,,,,,,,,,,,,,,,,,,
Vetiveria zizanoides,Assam,NA,,,,,,,,,,,,,,,,,,,,
Ziziphus nummularia,Assam,NA,,,,,,,,,,,,,,,,,,,,
Ziziphus xylopyrus,Assam,NA,,,,,,,,,,,,,,,,,,,,
Garuga pinnata.,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Mallotus philippensis,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Saccharum spontaneum,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Syzigium cumini,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Trewia nudiflora,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Tripidium bengalense,Assam,Teraiaduar Savanna And Grasslands,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Capparis zeylanica,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Gardenia,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Grewia,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Gymnosporia,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Prosopis cineraria,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Salvadora,Haryana,Aravalli West Thorn Scrub Forests,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Aegle marmelos,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus pendula,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Boswellia serrata,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Commiphora mukul,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Dalbergia paniculata,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Dicliptera abuensis,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Diospyros spp.,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Emblica officinalis,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Euphorbia caducifolia,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Grewia tenax,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Grewia villosa,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Maytenus emarginata,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Ougeinia oojeinensis,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Securinega leucopyrus,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Sterculia urens,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Strobilanthes halbergii,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Tectona grandis,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Veronica anagallis,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Wrightia tinctoria,Haryana,Khathiara gir Dry Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Acacia chundra,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Ageratum conyzoides,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Bauhinia racemosa,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Buchanania lanzan,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Cassia fistula,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Chloroxylon swietenia,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Chrysopogon aciculatus,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Cyperus rotundus,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Diospyros melanoxylon,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Eragrostis tenella,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Heteropogon contortus,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Lannea coromandelica,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Lantana camara,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Melia azedarach,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Memecylon edule,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Mimosa hamata,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Pinus insularis,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Pinus roxburghii,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Populus deltoides,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Pterocarpus santalinus,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Quercus leucotrichophora,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Rhododendron arboreum,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Rhododendron barbatum,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Rhododendron grande,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Saccharum spontaneum,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Terminalia alata,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Terminalia arjuna,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Trema orientalis,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Vernonia cinerea,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Vetiveria zizanoides,Haryana,NA,,,,,,,,,,,,,,,,,,,,
Acacia nilotica,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Aeluropus lagopoides,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Aerva spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Aristida adscensionis,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Calligonum polygonoides,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Calotropis spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Capparis decidua,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Cenchrus biflorus,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Crotalaria spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Cympogon spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Cyperus spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Eleusine spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Eragrostis spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Haloxylon recurvum,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Haloxylon salicornicum,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Lasiurus scindicus,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Panicum spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Prosopis cineraria,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Prosopis juliflora,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Sporobolus spp.,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Tamrix aphylla,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Zizyphus mauritiana,Haryana,Thar Desert,,,,,,,,,,,,,,,,,,,,
Adina cordifolia,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Dillenia pentagyna,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Ficus spp.,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Ficus spp.,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Saccharum benghalense,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Saccharum narenga,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Saccharum spontaneum,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Stereospermum suaveolens,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia belerica,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Vetiveria zizanioides,Haryana,Upper Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Adina,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus sp.,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Arisaema tortuosum,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Arisaema tortuosum,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Artocarpus integrifolia,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Boehmeria macrophylla,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Buchanania,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Calamus rotang,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Cleistanthus,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Didymocarpus pygmaea,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Elatostemma cuneatum,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Gnetum ula,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Leucas mukerjiana,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Phlebophyllum jeyporensis,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Rubus ellipticus,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Rubus ellpiticus,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Schefflera venulosa,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Syzygium,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Thalictrum foliolosum,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Toona,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Zanthoxylum rhetsa,Orissa,East Deccan Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Avicennia marina,Orissa,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Avicennia marina,Orissa,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Bruguiera spp,Orissa,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Rhizophora spp.,Orissa,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Suaeda spp.,Orissa,Godavari krishna Mangroves,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Aegle marmelos,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Albizia procera,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Anogeissus latifolia,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Bombax ceiba,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Butea monosperma,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Calamus tenuis,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Dalbergia sisso,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Dendrocalamus strictus,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Duabanga sonneratioides,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Lagerstroemia parviflora,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Laportea crenulata,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Madhuca indica,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Madhuca latifolia,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Ochna pumila,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Phoenix acaulis,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Pterocarpus marsupium,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Pterspermum acerifolium,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Shorea robusta,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Sterculia villosa,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Sterculia vilosa,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Syzygium cumini,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia myriocarpa,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Terminalia tomentosa,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Themeda quadrivalvis,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Zizyphus mauritiana,Orissa,Lower Gangetic Plains Moist Deciduous Forests,,,,,,,,,,,,,,,,,,,,
Abies densa,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Abies densa,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Abies densa,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia catechu,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia chundra,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia leucophloea,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Orissa,NA,,,,,,,,,,,,,,,,,,,,
Acacia senegal,Orissa,NA,,,,,,,,,,,,,,,,,,,,
